name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Paddy Holohan,0,90,160,0,0,28,0,278
Elves Brener,200,0,0,0,70,8,0,278
Michael Chandler,200,0,0,0,0,27,50,277
Pascal Krauss,0,0,160,0,0,117,0,277
Blagoy Ivanov,0,0,240,0,0,11,25,276
Cody McKenzie,0,180,80,0,0,15,0,275
Will Brooks,100,0,80,0,0,95,0,275
Zach Makovsky,0,0,240,0,0,35,0,275
Chico Camus,0,0,160,0,70,45,0,275
Rodrigo Damm,0,90,80,0,70,10,25,275
Albert Duraev,0,90,80,0,70,35,0,275
Luana Pinheiro,100,0,80,0,70,24,0,274
Justin Eilers,200,0,0,0,0,24,50,274
Brady Hiestand,100,90,80,0,0,4,0,274
Sam Patterson,0,270,0,0,0,4,0,274
Mike Russow,100,0,160,0,0,14,0,274
Rizvan Kuniev,200,0,0,0,0,73,0,273
Paul Sass,0,270,0,0,0,3,0,273
Ryan Janes,100,0,80,0,0,92,0,272
Nam Phan,0,0,80,0,70,120,0,270
Shane Young,100,0,80,0,0,90,0,270
Ronny Markes,0,0,160,0,70,39,0,269
David Loiseau,200,0,0,0,0,44,25,269
Rob Kimmons,0,180,80,0,0,7,0,267
Sergey Morozov,0,0,240,0,0,26,0,266
Mariya Agapova,0,180,0,0,0,85,0,265
Nick Maximov,0,0,160,0,70,35,0,265
Trey Ogden,0,0,240,0,0,25,0,265
SuYoung You,0,0,160,0,70,34,0,264
Melissa Gatto,200,0,0,0,0,64,0,264
Billy Ray Goff,200,0,0,0,0,64,0,264
Roland Delorme,0,180,80,0,0,4,0,264
Dongi Yang,200,0,0,0,0,63,0,263
Devin Cole,100,0,80,0,0,82,0,262
Tyler Toner,200,0,0,0,0,62,0,262
Emily Ducote,0,0,160,0,0,102,0,262
Piotr Hallmann,0,180,0,0,0,82,0,262
Isaac Dulgarian,100,90,0,0,0,71,0,261
Mohammed Usman,100,0,160,0,0,0,0,260
Livinha Souza,0,90,80,0,70,20,0,260
Hannah Goldy,0,90,80,0,0,90,0,260
Maxim Grishin,100,0,80,0,0,79,0,259
Eliot Marshall,0,90,80,0,70,19,0,259
Caio Machado,0,0,80,0,0,177,0,257
Benji Radach,100,0,80,0,0,76,0,256
Jean Matsumoto,0,90,160,0,0,6,0,256
Takeshi Inoue,200,0,0,0,0,31,25,256
Jack Marshman,100,0,80,0,70,6,0,256
WonBin Ki,200,0,0,0,0,55,0,255
Marco Beltran,0,90,80,0,70,14,0,254
Ricky Turcios,0,0,0,0,140,114,0,254
Daniel Roberts,0,180,0,0,70,3,0,253
Xie Bin,100,0,80,0,0,72,0,252
Maki Pitolo,200,0,0,0,0,51,0,251
Steven Nguyen,100,0,80,0,0,71,0,251
Brandon Thatch,200,0,0,0,0,26,25,251
Maheshate,100,0,80,0,70,1,0,251
Masakazu Imanari,0,180,0,0,70,0,0,250
Carlos Felipe,0,0,80,0,140,30,0,250
Kayla Harrison,0,90,80,0,0,80,0,250
Kevin Aguilar,0,0,160,0,70,18,0,248
Scott Ferrozzo,100,0,80,0,0,68,0,248
Nah-Shon Burrell,0,0,80,0,70,98,0,248
Hiromitsu Miura,200,0,0,0,0,23,25,248
Eric Shelton,0,0,80,0,70,97,0,247
LC Davis,0,0,80,75,70,22,0,247
Jared Vanderaa,100,0,80,0,0,66,0,246
Herschel Walker,200,0,0,0,0,46,0,246
Houston Alexander,200,0,0,0,0,45,0,245
Jose Johnson,0,90,80,0,0,75,0,245
Andrews Nakahara,200,0,0,0,0,45,0,245
Tony Fryklund,100,90,0,0,0,54,0,244
Mounir Lazzez,0,0,160,0,0,84,0,244
Arjan Bhullar,0,0,240,0,0,4,0,244
Dave Herman,200,0,0,0,0,43,0,243
Antonio Arroyo,0,90,80,0,0,73,0,243
Melquizael Costa,0,90,80,0,0,72,0,242
Gaston Bolanos,0,0,160,0,0,82,0,242
Kevin Jousset,0,90,80,0,0,72,0,242
Zelg Galesic,100,90,0,0,0,52,0,242
Wellington Turman,0,90,80,0,70,1,0,241
Rodolfo Bellato,200,0,0,0,0,40,0,240
Junior Assuncao,0,90,80,0,0,70,0,240
John Cholish,100,90,0,0,0,50,0,240
Junior Tafa,200,0,0,0,0,40,0,240
Julia Polastri,0,90,0,0,70,79,0,239
Andre Galvao,100,90,0,0,0,49,0,239
Gan McGee,200,0,0,0,0,14,25,239
Roger Bowling,100,0,80,0,0,58,0,238
Ebenezer Fontes Braga,0,90,80,0,0,67,0,237
Marcio Cruz,100,90,0,0,0,47,0,237
Evangelista Santos,100,90,0,0,0,21,25,236
Manny Tapia,100,0,0,0,70,41,25,236
Lucas Almeida,100,0,80,0,0,55,0,235
Tereza Bleda,0,0,160,0,0,75,0,235
Bolaji Oki,100,0,0,0,70,65,0,235
Gloria de Paula,0,0,160,0,0,74,0,234
Scott Askham,200,0,0,0,0,34,0,234
Forrest Petz,0,0,160,0,0,74,0,234
Ottman Azaitar,200,0,0,0,0,34,0,234
Sean O'Connell,200,0,0,0,0,33,0,233
Malcolm Gordon,100,0,80,0,0,52,0,232
Oskar Piechota,100,0,80,0,0,52,0,232
Joey Villasenor,200,0,0,0,0,7,25,232
Oumar Sy,0,90,80,0,0,61,0,231
Tony Kelley,100,0,80,0,0,51,0,231
Keith Hackney,100,90,0,0,0,41,0,231
Benito Lopez,0,0,160,0,70,0,0,230
Artem Lobov,0,0,160,0,0,45,25,230
Diana Belbita,0,0,160,0,0,70,0,230
Hacran Dias,0,0,160,0,70,0,0,230
Mikey Burnett,100,0,80,0,0,49,0,229
Evan Elder,0,90,80,0,0,59,0,229
Randy Costa,200,0,0,0,0,29,0,229
Chris Clements,100,0,0,0,70,58,0,228
Dalcha Lungiambula,100,0,80,0,0,48,0,228
Guangyou Ning,100,0,80,0,0,48,0,228
Preston Parsons,0,0,160,0,0,67,0,227
Gina Mazany,100,0,80,0,0,47,0,227
Nora Cornolle,100,0,80,0,0,47,0,227
Johnny Munoz,0,90,80,0,0,57,0,227
Darrick Minner,0,90,80,0,0,57,0,227
Atsushi Yamamoto,100,0,80,0,0,47,0,227
David Terrell,100,90,0,0,0,12,25,227
Amanda Cooper,100,0,80,0,0,47,0,227
Aleksei Kunchenko,0,0,160,0,0,67,0,227
Katsuyori Shibata,100,0,80,0,0,47,0,227
Katsuhisa Fujii,100,90,0,0,0,36,0,226
Claudio Ribeiro,200,0,0,0,0,26,0,226
Andy Ologun,100,0,80,0,0,45,0,225
Rafael Estevam,100,0,80,0,0,45,0,225
Morgan Charriere,200,0,0,0,0,25,0,225
Zhu Kangjie,0,0,80,0,70,74,0,224
Daniel Acacio,100,0,80,0,0,44,0,224
Fernando Padilla,100,90,0,0,0,34,0,224
Daniel Santos,100,0,80,0,0,44,0,224
Kuniyoshi Hironaka,100,0,80,0,0,43,0,223
Aisling Daly,0,90,80,0,0,53,0,223
Ange Loosa,0,0,160,0,0,63,0,223
James Moontasri,100,90,0,0,0,33,0,223
Luis Henrique,0,180,0,0,0,42,0,222
Bobby Southworth,0,90,80,0,0,2,50,222
Dennis Buzukja,100,0,80,0,0,42,0,222
Deron Winn,0,0,160,0,0,61,0,221
Sergey Khandozhko,100,0,80,0,0,41,0,221
Gilbert Yvel,200,0,0,0,0,21,0,221
Kurt Holobaugh,0,90,80,0,0,50,0,220
Isaac Vallie-Flagg,0,0,0,0,140,80,0,220
Tom Watson,100,0,80,0,0,39,0,219
Karlos Vemola,100,90,0,0,0,29,0,219
Ketlen Souza,0,90,80,0,0,49,0,219
Lance Benoist,0,0,160,0,0,59,0,219
Chris Beal,100,0,80,0,0,38,0,218
Josh Fremd,0,90,80,0,0,48,0,218
Orion Cosce,100,0,80,0,0,38,0,218
Magomed Mustafaev,200,0,0,0,0,18,0,218
Tae Hyun Bang,100,0,0,0,70,48,0,218
Gabe Green,100,0,80,0,0,38,0,218
Marco Tulio,100,0,80,0,0,37,0,217
Chelsea Chandler,100,0,80,0,0,37,0,217
Charlie Campbell,100,0,80,0,0,37,0,217
Bogdan Guskov,200,0,0,0,0,16,0,216
Yorgan De Castro,200,0,0,0,0,16,0,216
Takashi Sato,200,0,0,0,0,16,0,216
Robert Whiteford,100,0,80,0,0,36,0,216
Cyril Asker,100,90,0,0,0,26,0,216
Che Mills,200,0,0,0,0,16,0,216
Jess Liaudin,100,90,0,0,0,25,0,215
AJ Dobson,0,90,80,0,0,45,0,215
Allan Nascimento,0,90,80,0,0,45,0,215
Nurullo Aliev,100,0,0,75,0,40,0,215
Saidyokub Kakhramonov,0,90,80,0,0,45,0,215
Dylan Andrews,200,0,0,0,0,14,0,214
Nick Osipczak,100,90,0,0,0,24,0,214
Gerard Gordeau,200,0,0,0,0,14,0,214
Trey Waters,0,0,160,0,0,54,0,214
Nursulton Ruziboev,200,0,0,0,0,14,0,214
Noad Lahat,0,0,80,75,0,59,0,214
Nazim Sadykhov,100,90,0,0,0,24,0,214
Allan Goes,0,90,80,0,0,44,0,214
Khama Worthy,100,90,0,0,0,23,0,213
Jared Gooden,100,90,0,0,0,23,0,213
Jiniushiyue,100,0,80,0,0,33,0,213
Magomed Gadzhiyasulov,0,0,80,75,0,58,0,213
Timur Valiev,0,0,80,75,0,57,0,212
Casey Olson,0,90,80,0,0,42,0,212
Shana Dobson,200,0,0,0,0,12,0,212
Edwin Figueroa,100,0,0,0,70,42,0,212
Chris Barnett,200,0,0,0,0,11,0,211
Nad Narimani,0,0,160,0,0,51,0,211
Dominique Steele,100,0,80,0,0,31,0,211
Lauren Mueller,0,0,160,0,0,51,0,211
Melissa Mullins,100,0,80,0,0,30,0,210
Kenichi Yamamoto,0,90,80,0,0,15,25,210
Anthony Ruiz,100,0,0,0,0,84,25,209
Mike van Arsdale,0,90,80,0,0,39,0,209
Hector Sandoval,100,0,80,0,0,28,0,208
Juan Espino,0,180,0,0,0,28,0,208
Anthony Birchak,100,0,0,0,70,38,0,208
Leandro Issa,0,180,0,0,0,28,0,208
Andre Fialho,200,0,0,0,0,8,0,208
Laverne Clark,100,0,0,75,0,33,0,208
Adam Fugitt,100,0,0,0,70,38,0,208
Jutaro Nakao,200,0,0,0,0,8,0,208
Kevin Jackson,100,90,0,0,0,18,0,208
Jay Hieron,100,0,80,0,0,28,0,208
Matthew Lopez,100,0,80,0,0,27,0,207
Falaniko Vitale,200,0,0,0,0,7,0,207
Don Madge,100,0,80,0,0,27,0,207
Bea Malecki,0,90,80,0,0,37,0,207
Fredy Serrano,200,0,0,0,0,7,0,207
Micah Miller,100,90,0,0,0,17,0,207
Hannah Cifers,0,0,80,0,70,56,0,206
Ryan Jensen,0,180,0,0,0,26,0,206
Brian Johnston,200,0,0,0,0,6,0,206
Frank Gomez,0,90,80,0,0,36,0,206
Steve Jennum,100,90,0,0,0,16,0,206
Roman Zentsov,200,0,0,0,0,6,0,206
Eric Esch,100,90,0,0,0,16,0,206
Johnny Rhodes,100,90,0,0,0,16,0,206
Luiz Azeredo,100,0,0,0,70,35,0,205
Aaron Rosa,0,90,0,75,0,40,0,205
Anshul Jubli,100,0,0,0,70,35,0,205
Henrique da Silva,100,90,0,0,0,15,0,205
Lyle Beerbohm,0,90,0,0,70,44,0,204
Christian Wellisch,0,90,80,0,0,34,0,204
Lumumba Sayers,100,90,0,0,0,12,0,202
Victoria Leonardo,100,0,80,0,0,22,0,202
Mitch Clarke,0,90,80,0,0,32,0,202
MarQuel Mederos,100,0,80,0,0,21,0,201
Felipe Lima,0,90,80,0,0,31,0,201
Blake Bilder,0,90,80,0,0,31,0,201
Kaiwen,100,0,80,0,0,21,0,201
Jason Von Flue,0,180,0,0,0,20,0,200
Daniel Sarafian,100,90,0,0,0,10,0,200
Hiroshi Izumi,100,0,80,0,0,20,0,200
Jesse Taylor,0,180,0,0,0,20,0,200
Loik Radzhabov,100,0,80,0,0,19,0,199
Kimo Leopoldo,100,90,0,0,0,9,0,199
Jake Rosholt,100,90,0,0,0,9,0,199
Bryan Baker,100,0,0,0,70,28,0,198
Joseph Holmes,0,180,0,0,0,18,0,198
Danny Henry,0,90,80,0,0,28,0,198
Bec Rawlings,0,90,80,0,0,27,0,197
Victor Hugo,0,90,80,0,0,27,0,197
AJ Fletcher,100,90,0,0,0,7,0,197
James Wilks,0,90,80,0,0,27,0,197
Rory Singer,0,90,80,0,0,27,0,197
Jordan Griffin,0,180,0,0,0,16,0,196
Tatsuya Mizuno,100,90,0,0,0,6,0,196
Ariane Carnelossi,100,90,0,0,0,5,0,195
Bojan Velickovic,100,0,80,0,0,15,0,195
Daniel Gracie,0,90,0,0,70,35,0,195
Assuerio Silva,100,90,0,0,0,4,0,194
Austen Lane,100,0,80,0,0,14,0,194
Rickson Gracie,0,180,0,0,0,14,0,194
Aliaskhab Khizriev,0,180,0,0,0,13,0,193
Baergeng Jieleyisi,0,90,80,0,0,23,0,193
Steve Bosse,100,0,80,0,0,13,0,193
Jonathan Brookins,100,0,80,0,0,13,0,193
Yanal Ashmouz,100,0,80,0,0,13,0,193
Cristian Quinonez,100,0,80,0,0,13,0,193
Mike Massenzio,0,90,80,0,0,22,0,192
Andre Winner,100,0,80,0,0,12,0,192
Kalib Starnes,0,90,80,0,0,21,0,191
Pete Sell,0,90,80,0,0,21,0,191
Austin Lingo,0,0,160,0,0,31,0,191
Ken Stone,0,90,0,0,70,31,0,191
Antonio Schembri,100,90,0,0,0,1,0,191
Samandar Murodov,0,90,80,0,0,20,0,190
Gadzhimurad Antigulov,0,180,0,0,0,10,0,190
Thomas Petersen,0,90,80,0,0,20,0,190
Travis Lutter,100,90,0,0,0,0,0,190
Ivan Jorge,0,0,160,0,0,30,0,190
Marcelo Guimaraes,0,0,0,0,140,50,0,190
Kevin Burns,100,90,0,0,0,0,0,190
Garreth McLellan,100,0,0,0,0,89,0,189
Tainara Lisboa,0,90,80,0,0,19,0,189
Jonny Parsons,100,0,0,0,70,19,0,189
Laureano Staropoli,0,0,160,0,0,28,0,188
Eric Spicely,0,180,0,0,0,8,0,188
Andre Soukhamthath,100,0,80,0,0,8,0,188
Daijiro Matsui,0,0,160,0,0,28,0,188
Poppies Martinez,0,180,0,0,0,7,0,187
Dave Terrel,100,0,80,0,0,7,0,187
Myktybek Orolbai,0,90,80,0,0,17,0,187
Serhiy Sidey,100,0,0,0,70,17,0,187
Philip De Fries,0,90,80,0,0,17,0,187
Mackens Semerzier,0,180,0,0,0,7,0,187
Zhang Tiequan,0,180,0,0,0,6,0,186
Chris Brennan,0,180,0,0,0,6,0,186
Jason DeLucia,0,180,0,0,0,5,0,185
Jason Witt,0,90,0,75,0,20,0,185
Adam Wieczorek,0,90,80,0,0,14,0,184
Nobuhiko Takada,0,180,0,0,0,4,0,184
Genki Sudo,0,180,0,0,0,4,0,184
Dokonjonosuke Mishima,0,90,0,0,70,24,0,184
Danilo Marques,0,90,80,0,0,13,0,183
Rafael Alves,0,180,0,0,0,3,0,183
Julija Stoliarenko,0,180,0,0,0,3,0,183
Markus Perez,0,180,0,0,0,2,0,182
Jordan Rinaldi,0,90,80,0,0,12,0,182
Damian Stasiak,0,180,0,0,0,2,0,182
Shannon Gugerty,0,180,0,0,0,2,0,182
Rafaello Oliveira,0,0,160,0,0,22,0,182
Brendson Ribeiro,100,0,0,0,70,12,0,182
Tiago dos Santos e Silva,0,0,80,0,70,32,0,182
Yoshiyuki Yoshida,0,180,0,0,0,2,0,182
Emily Whitmire,0,90,80,0,0,11,0,181
Abubakar Nurmagomedov,0,0,160,0,0,21,0,181
Tresean Gore,0,180,0,0,0,1,0,181
Dustin Kimura,0,180,0,0,0,0,0,180
Michinori Tanaka,0,0,80,0,70,30,0,180
Tom Duquesnoy,100,0,80,0,0,0,0,180
Diego Rivas,100,0,80,0,0,0,0,180
Aleksandra Albu,0,90,80,0,0,10,0,180
Ralek Gracie,0,90,80,0,0,10,0,180
Akitoshi Tamura,0,0,80,0,0,100,0,180
Mike Wilkinson,100,0,80,0,0,0,0,180
Sam Hoger,0,90,80,0,0,9,0,179
Yaotzin Meza,0,90,80,0,0,9,0,179
Mike de la Torre,100,0,0,0,70,9,0,179
Masanori Kanehara,0,0,160,0,0,18,0,178
Mara Romero Borella,0,90,0,0,70,18,0,178
Tra Telligman,0,90,80,0,0,7,0,177
Damien Brown,100,0,0,0,70,7,0,177
Justin Edwards,0,90,80,0,0,7,0,177
Chris Kelades,0,0,80,0,70,27,0,177
Nyamjargal Tumendemberel,0,90,0,0,70,17,0,177
Mark De La Rosa,0,90,0,0,70,17,0,177
Darren Uyenoyama,0,90,80,0,0,6,0,176
James Head,0,90,0,0,70,16,0,176
Abdul-Kerim Edilov,100,0,0,0,0,76,0,176
Alexander Munoz,0,0,160,0,0,15,0,175
Sarah Frota,100,0,0,0,0,74,0,174
Chance Rencountre,0,90,80,0,0,4,0,174
Mallory Martin,0,90,80,0,0,3,0,173
Antonio Carvalho,100,0,0,0,70,3,0,173
Yohan Lainesse,100,0,0,0,70,3,0,173
Amar Suloev,0,0,80,0,70,23,0,173
Toshiomi Kazama,0,90,80,0,0,3,0,173
Ramon Taveras,100,0,0,0,70,3,0,173
Daermisi Zhawupasi,0,90,80,0,0,2,0,172
Michael Graves,0,90,80,0,0,1,0,171
Shane Nelson,100,0,0,0,70,1,0,171
Phillip Miller,0,90,80,0,0,1,0,171
Chris Holdsworth,0,90,80,0,0,1,0,171
Dione Barbosa,0,90,80,0,0,1,0,171
Francisco Figueiredo,0,90,80,0,0,1,0,171
John Maguire,0,90,80,0,0,0,0,170
Ronaldo Rodriguez,0,90,80,0,0,0,0,170
Guram Kutateladze,0,0,80,0,70,20,0,170
Jessamyn Duke,0,0,80,0,0,89,0,169
Jarred Brooks,0,0,0,0,140,28,0,168
Satoshi Ishii,0,0,160,0,0,8,0,168
Rogerio Bontorin,0,90,0,0,70,7,0,167
Jamey-Lyn Horth,0,0,80,0,70,17,0,167
Danielle Taylor,0,0,80,0,70,17,0,167
Justin Gonzales,0,0,80,0,0,87,0,167
Mana Martinez,0,0,0,0,140,26,0,166
Cody Haddon,0,0,80,0,0,86,0,166
Alex Hunter,0,90,0,0,70,6,0,166
Fredson Paixao,0,90,0,0,70,5,0,165
William Macario,0,0,80,0,0,85,0,165
Dong Sik Yoon,0,0,80,0,70,15,0,165
Yousri Belgaroui,100,0,0,0,0,64,0,164
Deividas Taurosevicius,0,0,80,0,70,14,0,164
Martin Bravo,100,0,0,0,0,64,0,164
Kiichi Kunimoto,0,90,0,0,70,4,0,164
Igor Araujo,0,0,160,0,0,3,0,163
Pingyuan Liu,0,0,80,0,70,13,0,163
Gabriella Fernandes,0,90,0,0,70,2,0,162
Felipe Colares,0,0,80,0,70,12,0,162
David Heath,0,90,0,0,70,1,0,161
Mizuto Hirota,0,0,80,0,0,81,0,161
Justin McCully,0,0,160,0,0,0,0,160
Jinh Yu Frey,0,0,160,0,0,0,0,160
Luke Jumeau,0,0,160,0,0,0,0,160
Nicco Montano,0,0,80,0,0,54,25,159
Mizuki,0,0,80,0,70,8,0,158
Qiu Lun,0,0,80,0,0,78,0,158
Sheymon Moraes,0,0,80,0,70,7,0,157
Danny Silva,0,0,80,0,70,7,0,157
Felipe Silva,100,0,0,0,0,56,0,156
James Llontop,0,0,80,0,0,75,0,155
Zhang Lipeng,0,0,80,0,70,4,0,154
Chris Wilson,0,0,80,0,0,73,0,153
Luan Chagas,0,90,0,0,0,63,0,153
Waylon Lowe,0,0,80,0,70,3,0,153
Satoshi Honma,100,0,0,0,0,53,0,153
Jason Day,100,0,0,0,0,26,25,151
Kazula Vargas,0,0,80,0,0,71,0,151
Akira Corassani,0,0,80,0,70,0,0,150
Royston Wee,0,0,80,0,70,0,0,150
Viviane Pereira,0,0,80,0,70,0,0,150
Sultan Aliev,0,0,80,0,70,0,0,150
Kyle Bochniak,0,0,80,0,70,0,0,150
Justin Wilcox,0,0,80,0,0,69,0,149
Zac Pauga,0,0,80,0,0,68,0,148
Andrew Holbrook,0,0,0,0,140,8,0,148
Ricky Palacios,0,0,80,0,0,67,0,147
Lucas Alexander,0,0,80,0,0,66,0,146
Yuki Kondo,100,0,0,0,0,21,25,146
Nathan Coy,0,0,80,0,0,65,0,145
Jeff Hughes,100,0,0,0,0,45,0,145
Khalid Murtazaliev,100,0,0,0,0,44,0,144
Igor Severino,100,0,0,0,0,44,0,144
Estevan Payan,0,0,80,0,0,64,0,144
Kaue Fernandes,100,0,0,0,0,43,0,143
James McSweeney,100,0,0,0,0,42,0,142
Mike Santiago,100,0,0,0,0,42,0,142
Brok Weaver,0,0,80,0,0,62,0,142
Aalon Cruz,100,0,0,0,0,40,0,140
Carmelo Marrero,0,0,0,0,140,0,0,140
Mario Miranda,100,0,0,0,0,40,0,140
Gil Castillo,0,0,80,0,0,9,50,139
Kevin Syler,0,0,80,0,0,59,0,139
Thiago Perpetuo,100,0,0,0,0,39,0,139
Bibulatov Magomed,0,0,80,0,0,59,0,139
Nick Thompson,0,0,80,0,0,34,25,139
Shane Campbell,0,0,80,0,0,59,0,139
Saparbeg Safarov,0,0,80,0,0,59,0,139
Yui Chul Nam,0,0,0,0,70,69,0,139
Corey Hill,100,0,0,0,0,39,0,139
Wang Cong,100,0,0,0,0,37,0,137
Muin Gafurov,0,0,80,0,0,56,0,136
Maria Silva,0,0,80,0,0,56,0,136
Jonathan Meunier,0,0,80,0,0,56,0,136
Gilbert Urbina,100,0,0,0,0,35,0,135
Geraldo de Freitas,0,0,80,0,0,55,0,135
Pedro Falcao,100,0,0,0,0,34,0,134
Leonardo Mafra,0,0,80,0,0,54,0,134
Reuben Duran,0,90,0,0,0,44,0,134
Kevin Vallejos,100,0,0,0,0,34,0,134
Charalampos Grigoriou,100,0,0,0,0,33,0,133
Caolan Loughran,0,0,80,0,0,52,0,132
Mike Guymon,0,0,80,0,0,52,0,132
Sheldon Westcott,100,0,0,0,0,32,0,132
Masaaki Satake,100,0,0,0,0,32,0,132
Mike Hayes,0,0,80,0,0,51,0,131
Jordan Wright,100,0,0,0,0,31,0,131
Kailin Curran,0,90,0,0,0,41,0,131
Zachary Micklewright,0,0,80,0,0,50,0,130
Edgar Garcia,100,0,0,0,0,30,0,130
Christian Morecraft,0,90,0,0,0,39,0,129
Chris Spang,100,0,0,0,0,29,0,129
Patrick Kaase,100,0,0,0,0,29,0,129
Brianna Fortino,0,0,80,0,0,49,0,129
Hirotaka Yokoi,0,90,0,0,0,38,0,128
Tom Murphy,100,0,0,0,0,28,0,128
Allen Crowder,100,0,0,0,0,28,0,128
Augusto Montano,100,0,0,0,0,27,0,127
Seth Petruzelli,100,0,0,0,0,27,0,127
Branden Lee Hinkle,100,0,0,0,0,27,0,127
Julius Anglickas,0,90,0,0,0,37,0,127
Jessica Aguilar,0,0,80,0,0,47,0,127
Mario Sousa,0,0,80,0,0,47,0,127
Mansur Abdul-Malik,100,0,0,0,0,26,0,126
Sherron Leggett,100,0,0,0,0,26,0,126
Navajo Stirling,0,0,80,0,0,46,0,126
Bertrand Amoussou,100,0,0,0,0,26,0,126
Sam Oropeza,100,0,0,0,0,26,0,126
Sasha Palatnikov,100,0,0,0,0,26,0,126
Norifumi Yamamoto,100,0,0,0,0,25,0,125
Joachim Christensen,100,0,0,0,0,25,0,125
Yusaku Kinoshita,100,0,0,0,0,25,0,125
Rob Broughton,0,90,0,0,0,35,0,125
Cole Escovedo,100,0,0,0,0,0,25,125
Renee Forte,0,0,80,0,0,44,0,124
Taiyilake Nueraji,100,0,0,0,0,24,0,124
Francisco Prado,100,0,0,0,0,24,0,124
Nate Mohr,0,0,80,0,0,44,0,124
Juliana Miller,100,0,0,0,0,24,0,124
John Albert,100,0,0,0,0,24,0,124
Kevin Borjas,0,0,80,0,0,44,0,124
Greg Soto,0,0,80,0,0,44,0,124
Cody Donovan,100,0,0,0,0,24,0,124
Austin Arnett,0,0,80,0,0,44,0,124
Alex Nicholson,100,0,0,0,0,23,0,123
Marcelo Golm,0,90,0,0,0,33,0,123
Mark Godbeer,0,0,80,0,0,43,0,123
Walel Watson,100,0,0,0,0,23,0,123
Akiyo Nishiura,100,0,0,0,0,23,0,123
Mark Eddiva,0,0,80,0,0,42,0,122
Tony Sims,100,0,0,0,0,22,0,122
Jarno Errens,0,0,80,0,0,42,0,122
Justin Lawrence,100,0,0,0,0,21,0,121
Alvin Robinson,0,0,80,0,0,41,0,121
Zarrukh Adashev,0,0,80,0,0,41,0,121
Wu Yanan,0,90,0,0,0,31,0,121
Willie Gates,100,0,0,0,0,21,0,121
Top Noi Kiwram,0,0,80,0,0,41,0,121
Frankie Perez,100,0,0,0,0,21,0,121
Cory Devela,100,0,0,0,0,20,0,120
Mike Whitehead,0,0,80,0,0,15,25,120
Gokhan Saki,100,0,0,0,0,20,0,120
Tulio Palhares,100,0,0,0,0,20,0,120
Bobby Moffett,0,90,0,0,0,29,0,119
Thibault Gouti,100,0,0,0,0,19,0,119
Adam Milstead,100,0,0,0,0,19,0,119
Ramazan Temirov,100,0,0,0,0,19,0,119
Bobby Lashley,100,0,0,0,0,19,0,119
Vik Grujic,100,0,0,0,0,18,0,118
Spike Carlyle,100,0,0,0,0,18,0,118
Geza Kalman,100,0,0,0,0,18,0,118
Jesse Lennox,100,0,0,0,0,18,0,118
Wesley Correira,100,0,0,0,0,18,0,118
Guto Inocente,0,0,80,0,0,37,0,117
Eduardo Garagorri,0,0,80,0,0,37,0,117
Shelton Graves,100,0,0,0,0,17,0,117
Mark Climaco,0,0,80,0,0,37,0,117
HanSeul Kim,0,90,0,0,0,27,0,117
Jeff Curran,0,0,80,0,0,12,25,117
Kim Couture,100,0,0,0,0,17,0,117
Eddie Gordon,100,0,0,0,0,17,0,117
Danni McCormack,0,0,80,0,0,36,0,116
Dave Strasser,0,0,80,0,0,36,0,116
Cameron Smotherman,0,0,80,0,0,36,0,116
Kyle Watson,0,0,80,0,0,36,0,116
Joe Pearson,0,90,0,0,0,1,25,116
Jake Hecht,100,0,0,0,0,16,0,116
Collin Anglin,0,0,80,0,0,36,0,116
Abu Azaitar,0,0,80,0,0,36,0,116
Darko Stosic,100,0,0,0,0,15,0,115
Luis Pajuelo,100,0,0,0,0,15,0,115
Crafton Wallace,100,0,0,0,0,15,0,115
Ben Askren,0,90,0,0,0,0,25,115
Elvis Sinosic,0,90,0,0,0,0,25,115
Gabriel Santos,0,0,80,0,0,35,0,115
Maciej Jewtuszko,100,0,0,0,0,15,0,115
Jon Hess,100,0,0,0,0,15,0,115
Peter Barrett,0,0,80,0,0,34,0,114
Clay Collard,0,0,80,0,0,34,0,114
Stanislav Nedkov,100,0,0,0,0,14,0,114
Reginaldo Vieira,0,0,80,0,0,33,0,113
Francisco Trevino,0,0,80,0,0,33,0,113
Ben Alloway,100,0,0,0,0,13,0,113
Dan Argueta,0,0,80,0,0,33,0,113
Carlos Candelario,0,0,80,0,0,33,0,113
Silvana Gomez Juarez,100,0,0,0,0,13,0,113
Brandon Visher,100,0,0,0,0,13,0,113
Jeremy Kimball,100,0,0,0,0,13,0,113
Mark Weir,100,0,0,0,0,13,0,113
Kenny Ento,0,90,0,0,0,23,0,113
Emil Meek,0,0,80,0,0,33,0,113
Robelis Despaigne,100,0,0,0,0,13,0,113
Denis Tiuliulin,100,0,0,0,0,13,0,113
Jerome Rivera,0,0,80,0,0,32,0,112
Ricardo Morais,100,0,0,0,0,12,0,112
Pete Rodriguez,100,0,0,0,0,12,0,112
Daria Zhelezniakova,0,0,80,0,0,32,0,112
Takashi Sugiura,100,0,0,0,0,12,0,112
Erik Silva,100,0,0,0,0,12,0,112
Justin Jaynes,100,0,0,0,0,12,0,112
Tristan Connelly,0,0,80,0,0,32,0,112
Vinicius Salvador,100,0,0,0,0,12,0,112
Marcel Fortuna,100,0,0,0,0,12,0,112
