name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Kevin Lee,200,360,240,0,70,218,150,1238
Gillian Robertson,200,630,240,0,0,165,0,1235
Eddie Wineland,800,0,160,0,70,153,50,1233
Henry Cejudo,400,0,320,0,140,217,150,1227
Gerald Meerschaert,100,990,0,0,0,135,0,1225
Ronda Rousey,300,630,0,0,0,44,250,1224
Alex Pereira,700,0,80,0,70,215,150,1215
Melvin Guillard,700,0,160,0,140,214,0,1214
Brandon Moreno,200,270,240,0,70,230,200,1210
Evan Tanner,400,360,160,0,0,215,75,1210
Santiago Ponzinibbio,600,0,400,0,0,160,50,1210
Brian Stann,700,90,160,0,0,183,75,1208
Marcos Rogerio de Lima,600,180,240,0,0,182,0,1202
Rousimar Palhares,0,990,160,0,0,51,0,1201
Alex Oliveira,400,270,240,0,70,194,25,1199
Tim Kennedy,300,360,240,0,0,198,100,1198
Arnold Allen,200,180,480,0,70,210,50,1190
Grant Dawson,200,450,320,0,0,193,25,1188
Royce Gracie,100,900,160,0,0,27,0,1187
Diego Ferreira,500,180,240,0,0,266,0,1186
Elizeu Zaleski dos Santos,400,90,320,0,140,235,0,1185
Scott Jorgensen,200,270,480,0,0,183,50,1183
Yan Xiaonan,100,0,560,75,0,380,50,1165
Dan Ige,400,180,240,0,140,155,50,1165
Tecia Pennington,0,90,640,0,0,432,0,1162
Maycee Barber,500,0,240,0,140,278,0,1158
Kazuhiro Nakamura,200,180,640,0,0,137,0,1157
Joanne Wood,100,90,320,0,210,433,0,1153
Matt Lindland,400,90,320,75,0,238,25,1148
Martin Kampmann,200,450,160,0,140,148,50,1148
Song Yadong,500,90,240,0,70,170,75,1145
Iuri Alcantara,400,180,320,0,70,168,0,1138
Ross Pearson,400,0,400,0,140,173,25,1138
Kennedy Nzechukwu,700,90,80,0,70,194,0,1134
Rory MacDonald,300,90,400,0,0,267,75,1132
Marina Rodriguez,300,0,320,0,70,367,75,1132
Dennis Bermudez,100,180,400,0,140,283,25,1128
Paulo Filho,100,630,160,0,70,118,50,1128
Chris Cariaso,100,90,480,0,140,290,25,1125
Chris Gutierrez,300,0,320,0,140,340,25,1125
Marvin Vettori,0,180,560,0,0,255,125,1120
Holly Holm,200,0,400,0,70,221,225,1116
Andre Fili,400,0,320,0,280,115,0,1115
Krzysztof Jotko,100,0,560,0,210,243,0,1113
Arman Tsarukyan,400,0,320,0,70,273,50,1113
Jamahal Hill,500,0,160,0,0,350,100,1110
Yoel Romero,700,0,80,0,70,131,125,1106
Dustin Jacoby,500,0,320,0,0,285,0,1105
Renato Sobral,0,540,240,75,0,174,75,1104
Sarah Kaufman,100,0,400,75,0,428,100,1103
Mike Swick,600,180,160,75,0,61,25,1101
Joaquin Buckley,600,0,160,0,70,241,25,1096
Tarec Saffiedine,100,0,560,0,70,290,75,1095
Ricco Rodriguez,600,90,160,0,0,194,50,1094
Bryan Barberena,400,90,240,0,70,291,0,1091
Justin Gaethje,600,0,80,75,0,86,250,1091
Daniel Rodriguez,200,90,320,0,140,339,0,1089
Antonio Silva,600,90,80,0,70,119,125,1084
Sara McMann,100,270,480,0,70,137,25,1082
Keith Jardine,300,90,320,0,140,207,25,1082
Jonathan Martinez,400,0,480,0,0,199,0,1079
Don Frye,600,270,0,0,70,139,0,1079
Pedro Munhoz,300,270,320,0,0,161,25,1076
Dominick Reyes,500,90,80,0,70,234,100,1074
Karolina Kowalkiewicz,0,90,480,0,140,338,25,1073
Jens Pulver,500,90,240,75,0,63,100,1068
Tyson Griffin,200,90,400,0,70,292,0,1052
Katlyn Cerminara,0,0,720,0,140,166,25,1051
Travis Browne,700,90,80,0,0,106,75,1051
Chan Sung Jung,400,180,80,0,0,136,250,1046
Joe Stevenson,200,450,240,0,0,125,25,1040
Matt Wiman,200,270,400,0,0,170,0,1040
Matt Mitrione,800,0,80,0,0,131,25,1036
Cody Garbrandt,600,0,240,0,0,68,125,1033
Takeya Mizugaki,100,0,400,0,280,224,25,1029
Josh Emmett,400,0,320,0,140,66,100,1026
Montel Jackson,400,90,320,0,0,216,0,1026
Al Iaquinta,400,0,320,0,70,160,75,1025
Roy Nelson,800,0,80,0,0,41,100,1021
James Krause,300,180,320,0,0,220,0,1020
Rafael Natal,100,90,400,0,140,264,25,1019
Germaine de Randamie,400,90,240,0,70,141,75,1016
CB Dollaway,200,180,400,0,70,138,25,1013
Miguel Torres,100,270,240,0,0,277,125,1012
Jared Gordon,200,0,400,0,70,339,0,1009
John Dodson,500,0,240,0,70,123,75,1008
Michel Pereira,200,270,240,0,70,200,25,1005
Mike Pierce,400,90,320,0,70,124,0,1004
Nasrat Haqparast,200,0,480,0,70,253,0,1003
Murilo Rua,400,180,160,0,0,213,50,1003
Tom Aspinall,600,180,0,0,0,96,125,1001
Eryk Anders,500,0,240,0,70,139,50,999
Brandon Vera,500,90,240,0,0,117,50,997
Lorenz Larkin,400,0,320,0,70,205,0,995
Sergio Pettis,0,0,640,0,70,259,25,994
Gunnar Nelson,0,720,160,0,0,62,50,992
Chase Hooper,200,360,160,0,0,272,0,992
Geoff Neal,600,90,80,0,70,125,25,990
