name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus
Cristiano Marcello,25,0,75,0,70,6,0
Ben Nguyen,125,205,105,0,0,114,0
Hayato Sakurai,675,165,530,0,25,232,25
Milton Vieira,0,0,25,0,25,0,0
Molly McCann,200,190,395,0,0,142,0
Ariane da Silva,75,205,340,0,70,174,0
Austin Arnett,25,0,155,0,0,44,0
Iuri Alcantara,425,205,445,0,70,168,0
Joe Soto,75,205,80,0,25,14,25
Brendan Allen,250,720,370,0,70,129,75
Dustin Ortiz,400,25,180,0,235,211,0
Bryan Caraway,25,475,105,0,145,19,0
Mitch Gagnon,0,320,130,0,0,67,0
Rafael Natal,200,90,475,0,140,264,25
Tom Watson,100,0,155,0,50,39,0
Ross Pearson,500,25,525,0,215,173,25
Brian Johnston,250,50,0,0,0,6,0
Jon Hess,100,0,0,0,0,15,0
Andy Anderson,25,0,0,0,0,0,0
Bryce Mitchell,125,140,480,75,0,118,0
Matt Sayles,100,140,25,0,0,88,0
Chris Curtis,425,0,130,0,165,110,25
Phil Hawes,425,0,80,75,0,163,0
Leonardo Santos,225,205,185,0,70,71,0
Kevin Lee,225,460,315,0,70,218,150
Vitor Belfort,1650,320,420,0,25,204,225
Scott Ferrozzo,125,25,80,0,0,68,0
Edson Barboza,1000,50,685,75,120,285,125
Jessica Penne,150,320,75,0,140,7,75
Randa Markos,0,140,445,0,190,166,0
Chael Sonnen,75,330,560,0,0,397,125
Forrest Petz,25,25,185,0,50,74,0
Sammy Morgan,100,0,25,0,0,0,0
Guy Mezger,475,90,240,0,75,175,0
John Dowdy,25,0,0,0,0,0,0
Anthony Pettis,475,655,420,0,120,150,175
Todd Duffee,375,0,0,0,0,60,25
Tim Hague,50,90,25,25,0,10,0
Song Yadong,500,90,370,0,70,187,100
Chris Gutierrez,300,25,395,0,210,345,25
Tiago dos Santos e Silva,25,0,105,0,70,32,0
Akbarh Arreola,0,90,50,0,0,7,0
Jared Gordon,400,25,425,0,95,341,0
Hacran Dias,0,0,285,0,70,0,0
Austen Lane,200,25,80,0,0,33,0
Fabricio Werdum,675,990,555,25,50,426,175
Gabriel Gonzaga,925,360,130,0,0,90,50
Chidi Njokuani,450,25,80,0,95,220,0
Marc-Andre Barriault,375,115,235,0,50,114,0
Billy Elekana,0,25,80,0,0,7,0
Ibo Aslan,325,25,25,0,0,68,0
Ricardo Lamas,625,270,610,0,25,168,50
Jennifer Maia,0,90,550,0,0,108,25
Takeya Mizugaki,175,50,500,0,280,224,25
Francisco Rivera,325,75,130,0,25,100,0
Gregory Rodrigues,675,0,240,0,25,177,25
Denis Tiuliulin,150,50,25,0,0,13,0
