name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus
Tai Bowden,0,0,0,0,0,0,0
Elvis Sinosic,75,90,50,0,0,0,25
Rob Emerson,100,25,130,0,70,39,0
Marius Zaromskis,350,0,160,0,0,74,25
Seichi Ikemoto,0,25,75,0,0,1,0
Josh Parisian,350,25,50,0,70,30,0
Chas Skelly,225,360,185,25,0,17,0
Wellington Turman,50,115,130,0,95,1,0
Liliya Shakirova,0,25,0,0,0,1,0
Ben Saunders,475,295,210,0,70,132,0
Jeremy Jackson,25,50,0,0,0,0,0
Mizuto Hirota,0,25,205,0,25,81,0
Claudia Gadelha,0,90,420,0,165,109,25
Marcin Bandel,50,0,0,0,0,0,0
Tae Hyun Bang,100,25,50,0,70,48,0
Leo Kuntz,0,25,0,0,25,0,0
Brandon Vera,600,90,290,0,25,117,50
Mike Whitehead,25,0,130,0,0,15,25
Tyson Pedro,425,205,75,0,0,53,0
Ike Villanueva,200,0,0,0,0,0,0
Marcos Galvao,50,0,0,0,0,0,0
TJ Grant,300,90,290,25,70,144,0
Joe Proctor,250,115,105,0,0,45,0
JJ Aldrich,125,25,715,0,95,130,0
Murilo Bustamante,225,270,235,0,50,50,50
Dong Sik Yoon,50,25,180,0,70,15,0
Kyle Daukaus,150,180,210,0,0,88,0
Naoyuki Kotani,75,25,50,0,0,0,0
Ovince Saint Preux,900,550,420,75,190,246,125
Goran Reljic,100,0,50,0,25,0,0
Jeff Hougland,25,0,130,0,0,30,0
Abdul-Kareem Al-Selwady,25,0,80,0,0,15,0
George Hardwick,0,0,25,0,0,0,0
Jonathan Brookins,125,50,105,0,0,13,0
Peter Sobotta,150,90,260,0,0,80,0
Pawel Pawlak,0,0,130,0,0,13,0
Tokimitsu Ishizawa,150,25,0,0,0,2,0
Ryan Gracie,225,180,25,0,70,35,0
Diego Nunes,0,0,500,0,140,114,0
Siyar Bahadurzada,300,90,100,0,0,98,0
Gilles Arsene,0,25,0,0,0,0,0
Marvin Vettori,0,180,735,0,25,266,150
Sheymon Moraes,25,25,105,0,70,7,0
Jamie Pickett,150,75,260,0,0,40,0
Joseph Holmes,25,205,25,0,0,18,0
Steven Siler,125,90,315,0,0,74,0
Eric Smith,0,25,0,0,0,0,0
Jay Silva,0,0,50,0,0,0,0
Ketlen Vieira,25,90,450,0,260,9,50
Misha Cirkunov,225,475,0,0,25,89,0
Danilo Marques,50,90,80,0,0,13,0
Andre Muniz,75,385,240,0,70,46,0
Bartosz Fabinski,0,75,240,0,0,58,0
Aleksandra Albu,0,115,80,0,25,10,0
Kailin Curran,25,140,75,0,0,41,0
Syuri Kondo,25,0,50,0,70,40,0
Bazigit Atajev,25,0,0,0,0,0,0
Jason MacDonald,350,385,25,0,0,36,0
Rory Singer,50,90,80,0,0,27,0
George Roop,400,25,210,0,120,210,0
Roger Huerta,300,90,185,0,25,154,0
Terry Martin,525,0,25,0,0,37,0
James Wilks,25,90,105,0,0,27,0
Marco Ruas,150,360,25,0,0,39,0
Paul Varelans,275,115,80,0,0,17,0
Naoki Inoue,0,0,80,0,25,32,0
Carls John De Tomas,0,25,25,0,0,0,0
Roxanne Modafferi,125,25,335,0,95,30,50
Jan Blachowicz,525,205,445,0,95,310,175
Polyana Viana,125,345,50,0,25,37,0
Jacob Volkmann,0,165,265,0,140,31,0
Antonio McKee,25,0,0,0,25,15,0
Leandro Silva,0,90,235,0,25,40,0
Farid Basharat,0,90,400,0,0,128,0
Allan Begosso,0,0,25,0,0,0,0
Paige VanZant,200,255,105,0,0,126,50
Alexandre Pantoja,225,540,395,0,140,179,150
Kai Asakura,0,50,0,0,0,0,25
Paul Kelly,125,140,265,0,0,133,0
TJ O'Brien,25,25,0,0,0,0,0
Kyle Stewart,100,25,25,0,0,0,0
Ricardo Arona,275,90,240,0,165,105,0
Bryan Vetell,25,0,0,0,0,2,0
Fabricio Camoes,0,165,25,0,0,5,0
Alexis Dufresne,0,0,50,0,0,0,0
Alejandro Perez,325,115,290,0,70,104,0
Ange Loosa,25,0,235,0,0,63,0
Lukasz Sajewski,25,25,25,0,0,1,0
Jorge Gurgel,25,115,235,0,70,58,0
Jake Shields,125,540,450,75,210,209,150
Ido Pariente,0,25,0,0,0,0,0
Guto Inocente,25,25,80,0,0,37,0
Manon Fiorot,300,0,425,0,0,270,50
Frankie Saenz,75,0,265,0,165,116,0
Henry Briones,25,115,50,0,0,0,0
Elias Silverio,25,90,185,0,0,109,0
Joao Zeferino,0,0,50,0,0,0,0
Felicia Spencer,200,90,50,0,25,85,25
Leah Letson,25,0,0,0,70,16,0
Jake Rosholt,100,140,0,0,0,9,0
Nissen Osterneck,25,0,0,0,25,6,0
Victor Hugo,0,90,105,0,0,27,0
Eduardo Torres Caut,0,25,0,0,0,0,0
Sedriques Dumas,50,140,240,0,0,38,0
Papy Abedi,25,50,0,0,70,10,0
Besam Yousef,0,25,0,0,25,0,0
Phillip Miller,0,90,80,0,0,1,0
Mark Weir,150,25,0,0,0,13,0
Sergei Kharitonov,850,320,25,0,70,146,0
Mike Russow,150,25,160,0,0,14,0
Gaston Bolanos,25,25,160,0,0,82,0
Ryan Bader,575,140,640,0,70,346,100
Vinny Magalhaes,50,90,50,0,0,7,0
Marcus Bossett,0,25,0,0,0,1,0
Cody Stamann,100,75,420,0,140,189,0
Dione Barbosa,0,180,130,0,0,13,0
Ricardo Abreu,0,90,0,0,25,16,0
Wagner Silva,0,50,0,0,0,0,0
Tomoya Miyashita,0,0,80,0,0,11,0
Keisuke Fujiwara,0,0,50,0,0,0,0
Gadzhi Omargadzhiev,0,90,50,0,0,8,0
Jansey Silva,0,25,0,0,0,0,0
John Maguire,0,90,155,0,0,0,0
Justin Edwards,25,115,130,0,25,7,0
Brunno Ferreira,425,205,80,0,0,25,0
Armen Petrosyan,125,50,185,0,70,224,0
Victoria Leonardo,175,0,80,0,0,22,0
Mandy Bohm,0,0,50,0,70,20,0
Seokhyeon Ko,0,0,160,0,0,55,0
Gina Mazany,200,25,105,0,0,47,0
Wu Yanan,25,90,75,0,25,31,0
Raoni Barcelos,225,180,530,25,0,232,0
Roland Delorme,0,205,105,0,25,4,0
Joe Solecki,25,270,210,75,25,70,0
Alex Da Silva,0,25,105,25,0,2,0
Jesus Aguilar,100,205,105,0,70,56,0
Erisson Ferreira,0,25,80,0,0,0,0
Kyle Driscoll,0,0,80,0,0,2,0
Dinis Paiva Jr.,0,0,25,0,0,0,0
Ray Sefo,0,115,0,0,0,3,0
Karo Parisyan,150,90,450,0,70,140,0
Dave Strasser,0,50,80,0,0,36,0
Khadis Ibragimov,25,25,50,0,0,10,0
Rashad Evans,775,0,475,75,330,143,125
Vinicius Salvador,125,0,50,0,0,12,0
David Avellan,25,0,0,0,0,0,0
Rafael Fiziev,350,0,345,25,0,58,50
Thiago Silva,1025,90,130,0,0,165,0
Antonio Mendes,50,0,0,0,0,0,0
Lone'er Kavanagh,25,0,80,0,0,22,0
Felipe dos Santos,0,0,75,0,70,20,0
Amanda Lemos,325,230,290,0,70,109,100
Ben Alloway,100,25,25,0,0,13,0
Manuel Rodriguez,25,0,0,0,0,0,0
Crezio de Souza,25,0,0,0,0,0,0
Ricky Simon,250,270,420,0,140,98,25
Josh Neer,25,345,260,0,25,146,0
Paddy Holohan,0,115,185,0,0,28,0
Josh Sampo,0,115,50,0,0,10,0
Brendson Ribeiro,175,90,0,25,70,23,0
Diyar Nurgozhay,0,25,0,0,0,0,0
Islam Makhachev,325,720,480,0,0,216,200
Mirsad Bektic,250,115,80,75,95,112,0
Matheus Nicolau,175,90,265,0,140,79,25
Bruno Korea,25,25,0,0,0,0,0
Guram Kutateladze,25,0,105,0,95,20,0
Mateusz Gamrot,300,115,265,0,120,114,75
Dave Menne,75,0,210,0,0,95,50
Yusuke Kawaguchi,0,0,0,0,70,0,0
David Loiseau,225,0,100,0,0,44,25
Charles McCarthy,50,90,0,0,0,0,0
Anthony Hamilton,275,50,130,0,0,105,0
Oban Elliott,100,0,185,75,0,112,0
Tai Tuivasa,775,75,105,0,25,94,75
Jadson Costa,25,0,0,0,0,0,0
Gan McGee,250,25,0,0,25,14,25
Preston Parsons,50,0,185,0,25,67,0
Evan Elder,0,90,185,0,0,93,0
Alan Baudot,50,0,25,0,0,19,0
Jonathan Martinez,425,0,555,0,25,199,0
Thomas Almeida,475,0,130,0,0,93,25
Antwain Britt,50,0,25,0,0,1,0
Viviane Araujo,100,0,630,0,0,55,25
Talita Bernardo,50,0,105,0,0,23,0
Tom Blackledge,0,25,0,0,0,1,0
Scott Fiedler,25,0,0,0,0,1,0
Damir Ismagulov,0,0,370,0,70,114,0
Joel Alvarez,425,270,105,0,0,190,0
Mats Nilsson,25,0,25,0,0,0,0
Michael Morales,500,0,240,0,0,174,25
Artem Lobov,0,0,285,0,0,45,25
Teruto Ishihara,225,25,155,0,0,21,0
Nazim Sadykhov,225,90,0,0,0,51,0
Allen Crowder,150,0,0,0,0,28,0
Yoshiki Takahashi,75,0,80,0,0,21,0
Wallid Ismail,25,90,50,0,0,15,0
Alen Amedovski,50,25,25,0,0,0,0
Lisa Ellis,25,50,0,0,0,2,0
Ahmad Hassanzada,25,90,0,0,0,0,0
Matthew Riddle,125,0,370,0,70,168,0
Steve Bruno,0,90,50,0,0,0,0
Alex White,225,25,260,0,0,122,0
Brandon Lewis,0,0,50,0,0,0,0
Mark Eddiva,25,25,80,0,25,42,0
Jimmy Ambriz,50,25,0,0,0,0,0
Dokonjonosuke Mishima,0,165,25,0,70,24,0
Hyder Amil,225,0,105,0,70,109,0
Mara Romero Borella,25,140,50,0,70,18,0
Cheick Kongo,650,25,265,75,50,331,0
Gilbert Aldana,25,0,0,0,0,0,0
Nora Cornolle,100,90,105,0,25,52,0
Sergio Pettis,25,25,715,0,70,259,25
Chris Kelades,0,25,105,0,70,27,0
Erik Silva,125,25,0,0,0,12,0
Anvar Boynazarov,25,0,0,0,0,0,0
MarQuel Mederos,100,0,160,0,70,91,0
Landon Quinones,0,0,50,0,0,0,0
Dong Hyun Kim,475,90,505,0,140,184,25
Danny Roberts,425,115,105,0,140,54,0
Mikhail Iloukhine,25,0,0,0,0,0,0
Mark De La Rosa,25,115,75,0,70,17,0
Jessica-Rose Clark,100,75,210,0,70,104,0
Luke Cummo,200,0,155,25,0,56,0
Alexia Thainara,0,90,80,0,0,16,0
Joseph Gigliotti,0,25,25,0,0,0,0
Juliana Miller,125,0,105,0,0,24,0
Steven Graham,25,90,0,0,0,0,0
Dmitri Stepanov,0,25,0,0,0,1,0
Kiyoshi Tamura,450,140,160,0,0,101,0
Igor Pokrajac,275,115,180,0,0,29,0
Gideon Ray,25,25,0,0,0,7,0
Reza Madadi,100,180,50,0,50,19,0
Jesse Butler,25,0,25,0,0,0,0
Jonathan Goulet,200,115,0,75,0,19,0
Paul Georgieff,0,25,0,0,0,1,0
Keith Jardine,425,90,395,25,140,207,25
Rolando Bedoya,0,0,75,0,25,59,0
Eperaim Ginting,0,25,0,0,0,0,0
Dave Galera,0,0,25,0,0,17,0
Felice Herrig,0,230,210,0,95,19,0
Patrick Smith,125,295,0,0,0,23,0
Rudyard Moncayo,0,25,0,0,0,0,0
Uros Medic,725,50,0,0,0,118,0
Aalon Cruz,150,0,0,0,0,40,0
Tagir Ulanbekov,0,205,265,0,70,17,0
Clayton Carpenter,0,205,105,0,0,49,0
Renee Forte,25,25,105,0,0,44,0
Terry Etim,125,385,155,0,0,55,0
Jason High,75,295,105,0,140,24,0
Vinicius Oliveira,200,0,240,0,0,150,0
Victor Madrigal,25,0,0,0,0,0,0
Chris Barnett,225,25,50,0,0,11,0
Youssef Zalal,0,360,370,0,25,155,0
Peter Barrett,0,25,105,0,0,34,0
Aiemann Zahabi,225,0,425,0,70,109,0
Aoriqileng,225,0,235,0,0,75,0
Marco Tulio,325,0,80,0,0,174,0
Yousri Belgaroui,200,0,25,0,0,142,0
Manuel Torres,525,90,0,0,0,67,0
Trevor Harris,0,90,0,0,0,3,0
Colley  Bradford,0,25,0,0,0,0,0
Kristof Midoux,25,25,0,0,0,1,0
James Head,25,140,0,0,70,16,0
Mallory Martin,0,140,105,0,0,3,0
Hannah Cifers,50,75,80,0,70,56,0
Hayder Hassan,0,50,0,0,0,3,0
Phil Davis,0,270,530,0,25,300,25
Dustin Pague,50,90,25,0,50,0,0
Corey Hill,125,25,0,0,0,39,0
Joe Veres,50,0,0,0,0,0,0
Jens Pulver,600,190,265,75,0,63,100
JeongYeong Lee,125,90,105,0,70,39,0
Blake Bilder,0,90,130,0,0,31,0
Akira Kikuchi,0,0,0,0,25,49,0
Geoff Neal,625,115,130,0,95,125,25
Luiz Cane,375,0,105,0,0,69,0
Eliot Marshall,25,90,105,0,95,19,0
Justin Scoggins,100,75,240,0,50,189,0
Jarred Brooks,25,0,0,0,165,28,0
Jimi Manuwa,425,0,105,0,0,65,25
Jean Silva,325,90,105,0,0,52,25
Kevin Vallejos,300,0,105,0,0,63,0
James Bochnovic,25,25,0,0,0,0,0
Daichi Abe,0,0,130,0,0,20,0
Hyun Gyu Lim,350,0,50,0,0,31,25
Corey Anderson,400,0,560,0,25,362,25
Hakeem Dawodu,100,25,235,0,210,301,0
Eryk Anders,550,25,315,0,145,139,50
Billy Evangelista,0,0,130,0,140,68,0
Rousimar Palhares,75,990,185,0,0,51,0
Mike Pierce,400,115,370,0,120,124,0
Kevin Jackson,100,140,0,0,0,18,0
Lyle Beerbohm,0,115,25,0,70,44,0
Ray Perales,0,25,0,0,0,0,0
Chelsea Chandler,125,0,130,0,0,37,0
Matt Dixon,25,0,0,0,0,0,0
Robert Peralta,200,25,130,0,140,112,0
Jason Young,25,0,130,0,0,15,0
Todd Butler,25,0,0,0,0,0,0
Jutaro Nakao,200,0,50,0,0,8,0
Mitch Clarke,50,115,105,0,25,32,0
Tom Duquesnoy,100,0,80,0,25,0,0
Cat Zingano,225,25,105,0,25,67,25
Mariya Agapova,25,255,25,0,0,85,0
Gunnar Nelson,25,720,235,0,50,62,50
Cody Brundage,350,140,50,0,25,52,0
Alvaro Herrera Mendoza,125,50,0,0,0,2,0
Roosevelt Roberts,25,320,210,0,0,85,0
Ramon Taveras,125,0,50,0,70,3,0
Scott Askham,200,0,50,0,50,34,0
Antonio Dos Santos,50,0,0,0,0,13,0
Jason Knight,125,90,155,0,95,83,0
Muslim Salikhov,575,25,185,0,140,113,0
Santiago Ponzinibbio,800,0,425,0,75,163,50
Ode Osbourne,350,165,130,0,70,35,0
Armando Villarreal,0,25,0,0,0,0,0
Shauna Bannon,0,115,25,0,70,36,0
Alice Ardelean,0,0,185,0,25,149,0
Claudio Ribeiro,275,0,0,0,0,26,0
Ivan Valenzuela,25,0,0,0,0,0,0
Andrew Craig,125,25,130,0,70,49,0
Shohei Nose,125,0,25,0,25,5,0
Nassourdine Imavov,400,0,345,100,0,242,125
Ian Heinisch,225,0,235,0,0,75,0
Zarrukh Adashev,50,0,105,0,0,41,0
Elise Reed,75,50,240,0,70,104,0
Jinh Yu Frey,25,25,235,0,25,0,0
Cory Peterson,0,25,0,0,0,0,0
Thiago Moises,275,295,395,0,0,63,25
Tony Kelley,125,0,105,0,0,51,0
Ali AlQaisi,0,0,25,0,25,14,0
Jamal Pogues,0,0,345,0,25,35,0
Thomas Petersen,50,90,185,0,0,50,0
Andre Pederneiras,0,0,0,0,0,0,25
Juan Puerta,0,0,0,0,70,0,0
Shang Zhifa,0,0,0,0,25,0,0
Matthew Lopez,150,25,105,0,0,27,0
Denis Kang,275,230,240,0,25,89,0
Andrei Semenov,125,0,25,0,0,0,0
Ramiro Hernandez,0,25,25,0,0,0,0
Patchy Mix,0,0,25,0,0,0,0
Ronald Jhun,0,50,0,0,0,0,25
Vitor Petrino,325,205,160,0,0,45,0
Enrique Barzola,0,0,450,0,95,126,0
Nikolay Veretennikov,25,0,50,0,95,12,0
Johnny Munoz,25,90,155,0,0,57,0
Sean Spencer,25,50,185,0,95,104,0
Zak Cummings,200,410,370,0,25,82,0
Cam Rowston,200,0,25,0,0,21,0
Kendall Grove,275,180,155,0,140,94,0
Luigi Vendramini,150,0,0,25,0,11,0
Ian McCall,100,25,260,0,0,134,0
Melissa Croden,100,0,25,0,0,67,0
Luis Gurule,25,0,25,0,0,0,0
Fernie Garcia,125,0,75,0,0,2,0
Kurt Holobaugh,25,140,205,0,0,62,0
DaMarques Johnson,275,255,0,0,0,10,0
Raheam Forest,25,0,0,0,0,0,0
Alex Perez,350,345,185,0,0,142,75
Lucas Rocha,100,25,80,0,0,70,0
Christos Giagos,150,280,290,0,0,65,0
Sean Soriano,0,75,50,0,0,72,0
Takenori Sato,50,0,0,0,0,0,0
Wilson Gouveia,275,360,25,0,0,46,0
Kevin Ferguson,350,0,80,0,0,15,0
Houston Alexander,250,25,25,0,0,45,0
Rinat Fakhretdinov,100,90,240,0,70,97,0
Rob Kimmons,50,230,80,0,0,7,0
Sean Pierson,25,0,265,75,0,81,0
Lance Benoist,0,0,185,0,25,59,0
Miguel Baeza,250,90,130,0,0,56,0
Victor Reyna,25,0,25,0,0,28,0
Norman Parke,100,0,370,0,25,84,0
Colin Fletcher,0,0,50,0,0,14,0
Kleydson Rodrigues,100,25,105,0,25,115,0
Santo Curatolo,0,0,25,0,0,0,0
Kevin Holland,550,615,390,0,165,431,100
Tim McKenzie,25,115,0,0,0,3,0
Sam Hoger,0,90,130,0,25,9,0
Bobby Southworth,0,115,105,0,0,2,50
Casey O'Neill,200,115,105,0,70,226,0
Cristian Quinonez,100,50,80,0,0,13,0
Montserrat Conejo Ruiz,75,0,105,0,0,0,0
Cheyanne Vlismas,100,0,210,0,0,144,0
Chase Gormley,25,25,0,0,0,0,0
Bibiano Fernandes,100,270,265,0,140,106,0
Li Jingliang,825,50,210,0,120,244,0
Tom DeBlass,0,0,25,25,0,0,0
Antonio Jones,25,0,0,0,0,0,0
Antonio Schembri,100,90,75,0,0,1,0
Andre Gusmao,25,0,25,0,0,0,0
Ebenezer Fontes Braga,25,115,105,0,0,67,0
Mounir Lazzez,25,25,160,0,0,84,0
Mick Parkin,100,90,265,0,0,84,0
Hunter Azure,25,0,240,0,25,126,0
Christian Ocon,0,0,25,0,0,0,0
Hatsu Hioki,25,25,290,0,95,98,0
Jameel Massouh,0,0,50,0,25,25,0
Aleksei Kunchenko,0,0,210,0,0,67,0
Barb Honchak,25,0,0,0,25,12,0
Aleksander Emelianenko,325,230,0,0,70,70,0
Bekzat Almakhan,100,0,25,0,0,7,0
Makwan Amirkhani,175,385,130,0,95,25,0
Shungo Oyama,100,50,105,0,0,3,0
Renzo Gracie,50,115,210,0,25,95,0
Liana Jojua,25,90,25,0,0,0,0
Diana Belbita,0,75,235,0,0,70,0
Michiyoshi Ohara,0,0,50,0,0,0,0
Mairon Santos,100,0,80,0,70,32,0
Dustin Stoltzfus,250,140,155,0,0,69,0
Tsuyoshi Tamakairiki,25,0,0,0,0,0,0
Marvin Eastman,100,25,80,0,0,9,0
Robert McDaniel,0,115,25,0,0,21,0
Gilbert Smith,0,25,0,0,0,0,0
Marcin Prachnio,175,75,265,0,0,271,0
William Knight,325,0,235,0,0,73,0
Donavon Frelow,0,0,0,0,25,0,0
Blas Avena,175,180,0,0,0,10,0
Dave Terrel,125,0,80,0,0,7,0
Geza Kalman,100,0,0,0,0,18,0
Dieusel Berto,25,0,0,0,0,0,0
Gerald Meerschaert,225,1065,50,0,75,135,0
Yan Cabral,25,180,130,0,0,51,0
Mario Sousa,25,25,80,0,0,47,0
Erik Koch,350,180,340,0,0,90,0
Navajo Stirling,0,0,160,0,0,84,0
Chan Sung Jung,525,180,105,0,25,136,250
Waylon Lowe,25,25,80,0,70,3,0
Willamy Freire,0,0,25,0,25,18,0
Cameron Saaiman,350,0,25,75,0,136,0
Terrence Mitchell,50,0,0,0,0,0,0
Yuji Nagata,50,0,0,0,0,0,0
Luan Chagas,25,115,0,0,0,63,0
Danny Downes,0,25,130,0,0,19,0
Zhang Tiequan,25,180,75,0,0,6,0
Tsuyoshi Kohsaka,300,0,160,0,0,33,0
Pete Williams,150,205,50,0,0,10,25
Rustam Khabilov,100,25,585,0,95,83,25
Nasrat Haqparast,250,0,555,0,140,253,0
Julie Kedzie,0,25,25,0,50,35,0
Diego Rivas,100,0,130,0,0,0,0
Nina Nunes,0,115,315,0,70,158,0
Amaury Bitetti,25,0,0,0,0,0,0
Danni McCormack,0,0,80,0,0,36,0
Yan Qihui,0,25,25,0,70,15,0
Marloes Coenen,25,385,0,0,0,53,100
Per Eklund,25,90,25,0,0,8,0
TJ Laramie,0,25,25,0,0,12,0
Daniel Swain,0,0,0,0,0,0,0
Gerald Harris,300,0,25,0,70,17,0
John Salter,125,25,0,0,0,0,0
Dave Beneteau,200,75,80,0,0,29,0
Todd Medina,25,90,0,0,0,3,0
Sergei Pavlovich,650,0,185,0,0,106,50
Nick Thompson,50,25,80,0,0,34,25
Daisuke Nakamura,100,270,75,0,0,6,0
Danyelle Wolf,0,0,105,0,0,0,0
Brian Ortega,325,360,155,0,0,67,175
Renato Moicano,175,590,210,0,140,230,100
Carlos Ulberg,625,90,240,0,0,205,25
Edgar Chairez,0,180,75,0,0,7,0
Mike French,0,0,50,0,0,0,0
Azat Maksum,0,0,75,0,70,0,0
Jhonata Diniz,225,0,160,0,0,64,0
Gabriel Bonfim,125,360,80,0,70,74,25
Tristan Connelly,0,0,130,0,0,32,0
Magomed Mustafaev,200,25,0,0,25,18,0
Greg Soto,0,25,80,0,0,44,0
Nick Osipczak,100,90,25,0,50,24,0
Carmelo Marrero,0,50,25,0,140,0,0
Cyrille Diabate,125,165,80,75,0,182,0
Edward Faaloloto,50,25,0,0,0,0,0
Daron Cruickshank,300,100,210,0,70,88,0
Shinsho Anzai,25,25,80,0,0,2,0
Dwayne Cason,100,25,0,0,0,10,0
Houston Dorr,25,0,0,0,0,0,0
Kolton Englund,25,0,0,0,0,0,0
Isis Verbeek,0,0,25,0,0,0,0
Sanae Kikuta,25,115,240,0,0,14,0
Jean Francois Lenogue,0,0,25,0,0,13,0
Kim Couture,100,0,0,0,0,17,0
Lina Kvokov,25,0,0,0,0,0,0
Valeri Ignatov,25,0,25,0,0,0,0
Joe Doerksen,100,205,130,0,0,2,25
Alvin Robinson,25,50,80,0,0,41,0
Jason Day,175,0,0,0,0,26,25
Erick Gonzalez,50,25,0,0,0,0,0
David Heath,25,115,25,0,70,1,0
Shane Carwin,500,25,25,0,0,96,50
Pannie Kianzad,0,50,500,0,0,171,0
Tom Breese,425,25,80,0,25,81,0
Constantinos Philippou,325,0,235,0,70,27,25
Wuziazibieke Jiahefu,0,25,0,0,0,0,0
Marco Beltran,25,115,105,0,70,14,0
HyunSung Park,200,320,0,0,0,49,25
Top Noi Kiwram,0,25,80,0,25,41,0
Amir Albazi,100,180,105,0,70,39,50
Billy Quarantillo,450,115,210,0,0,293,0
Jacob Kilburn,0,50,25,0,0,0,0
Jesse Taylor,0,230,0,0,0,20,0
Katsuyori Shibata,150,50,105,0,0,47,0
Sherrard Blackledge,0,0,105,0,0,17,0
Daniel Barez,0,50,80,0,25,0,0
Frank Hamaker,0,90,0,0,0,2,0
Thaddeus Luster,0,25,0,0,0,0,0
Razak Al-Hassan,0,25,0,0,25,6,0
Josh Fremd,25,115,130,0,0,48,0
Jimmy Flick,50,270,50,0,0,10,0
Victor Valimaki,25,0,0,0,25,22,0
Chris Brennan,25,205,50,0,0,6,0
Eiji Mitsuoka,50,25,80,0,0,5,0
Hiroyuki Takaya,550,0,185,0,145,135,25
Carlos Eduardo Rocha,0,90,25,0,25,0,0
Kris McCray,0,50,0,0,25,6,0
Jessin Ayari,25,0,50,0,70,23,0
Marcelo Aguiar,0,0,0,0,0,0,0
Tra Telligman,75,90,105,0,0,7,0
Katsuhiko Nagata,25,25,80,0,0,7,0
Artur Oumakhanov,0,0,25,0,0,0,0
Junior Albini,150,25,25,0,0,2,0
Kevin Gray,0,25,0,0,0,0,0
Kengo Ura,25,0,0,0,0,0,0
Daniel Acacio,100,25,105,0,0,44,0
Nick Maximov,0,25,185,0,70,35,0
Viviane Pereira,0,0,130,0,70,0,0
Matt Frevola,400,90,130,0,70,68,0
Mike Easton,100,0,155,75,25,40,0
Junior Assuncao,0,140,105,0,0,70,0
Julio Arce,425,90,185,0,50,240,0
Donnie Liles,0,90,0,0,0,6,0
Jake Matthews,125,640,530,0,95,313,0
Andre Fialho,300,0,25,0,0,8,0
Tyler Hill,25,0,0,0,0,0,0
Irene Aldana,300,90,340,0,120,121,50
Maurice Greene,150,205,25,0,70,37,0
Sirwan Kakai,0,0,80,0,25,0,0
Vince Morales,125,25,335,0,0,87,0
TJ Brown,0,255,130,0,70,83,0
Kai Kamaka,25,0,80,0,25,0,0
Tatsuya Mizuno,175,115,0,0,0,6,0
Jodie Esquibel,0,0,100,0,0,0,0
Ignacio Bahamondes,400,180,130,0,25,268,0
Justin Gaethje,675,50,160,75,0,90,250
JJ Okanovich,0,0,80,0,0,25,0
Christian Lohsen,0,0,25,0,0,0,0
Victor Martinez,50,0,80,0,0,31,0
Ryan Jensen,50,305,0,0,0,26,0
Steve Steinbeiss,0,25,25,0,25,72,0
Yadier del Valle,0,180,0,0,0,7,0
Anthony Lapsley,25,0,25,0,0,3,0
Dustin Hazelett,75,410,80,0,0,46,0
Diego Saraiva,0,0,75,0,0,0,0
JunYong Park,25,295,265,75,165,189,0
Jake Hecht,100,25,25,0,0,16,0
Brad Scott,25,180,75,0,95,29,0
Sam Patterson,225,270,0,0,0,14,0
Lara Procopio,0,25,80,0,25,0,0
Tor Troeng,0,90,75,0,0,4,0
Valmir Lazaro,0,0,25,0,95,35,0
Carl Malenko,0,25,105,0,0,1,0
Emily Kagan,0,25,25,0,0,1,0
Jim Wallhead,0,25,0,0,25,0,0
Beneil Dariush,450,475,560,0,140,280,25
Reinier de Ridder,125,180,0,0,70,24,50
Andy Ogle,25,25,130,0,25,25,0
Josh Grispi,125,295,50,0,0,32,0
Makhmud Muradov,200,25,185,0,0,135,0
Yuya Shirai,0,25,0,0,0,0,0
Reuben Duran,25,90,25,0,25,44,0
Mario Sperry,225,90,25,0,0,84,0
Sheldon Westcott,125,0,25,0,0,32,0
Edgar Garcia,125,50,0,0,25,30,0
Zach Makovsky,0,0,315,0,25,35,0
AJ Dobson,25,90,130,0,0,45,0
Dean Lister,0,270,235,0,25,19,0
Jonny Parsons,100,0,0,0,70,19,0
Alexa Grasso,0,205,475,25,70,174,75
Ray Steinbeiss,0,25,0,0,0,0,0
Eddie Sanchez,350,0,25,0,0,38,0
Colin Robinson,50,0,0,0,0,0,0
John Lineker,600,115,370,0,95,284,50
Marlon Vera,700,360,520,0,50,146,100
Dustin Jacoby,625,25,395,0,25,299,0
Steve Montgomery,25,0,25,0,0,14,0
Joe Duffy,125,205,130,0,0,35,0
Jake Lindsey,50,25,0,0,0,3,0
Marcus McGhee,200,90,105,0,0,106,0
Rony Sefo,0,25,0,0,0,0,0
Wagner da Conceicao Martins,125,50,0,0,0,5,0
Marcio Alexandre Junior,0,115,25,0,25,0,0
Drew McFedries,425,100,0,0,0,34,0
Tony Johnson,0,0,80,0,0,5,0
Alton Cunningham,25,0,25,0,0,0,0
Ed Ratcliff,200,50,80,0,25,28,0
Mason Jones,100,0,210,0,0,67,0
Juancamilo Ronderos,0,50,0,0,0,2,0
Charles Jourdain,225,385,210,25,50,311,0
Daniel Teymur,25,50,105,0,0,22,0
Danny Sabatello,0,0,80,0,0,28,0
Taylor Moore,0,0,25,0,0,0,0
Wang Cong,100,25,160,0,0,189,0
Khalid Murtazaliev,100,0,0,0,0,44,0
Rodrigo Lidio,0,25,0,0,0,3,0
John Kolosci,0,25,0,0,0,0,0
