player_name,value,playoff_value,total_value,passes_bought
Pete Crow-Armstrong,376,0,376,381
Rowdy Tellez,376,0,376,152
Keibert Ruiz,375,0,375,105
Ozzie Albies,375,7,382,3114
Lars Nootbaar,374,0,374,226
MJ Melendez,374,53,427,258
Tommy Pham,374,61,435,138
Xander Bogaerts,374,74,448,1190
Griffin Canning,373,0,373,14
Jorge Polanco,373,0,373,195
Andy Pages,372,88,460,287
Dylan Moore,372,0,372,97
Nate Pearson,372,0,372,36
Jacob Young,371,0,371,57
José Soriano,371,0,371,38
Ryan Pressly,371,0,371,44
David Fry,370,183,553,335
Gregory Soto,370,9,379,64
Bowden Francis,369,0,369,103
Mickey Moniak,369,0,369,50
Sal Frelick,369,49,418,199
Gavin Sheets,368,0,368,116
LaMonte Wade Jr.,368,0,368,182
Tayler Scott,368,0,368,39
James McArthur,367,0,367,53
Taylor Rogers,367,0,367,17
J.T. Realmuto,364,10,374,1270
Trent Thornton,364,0,364,15
Erik Miller,363,0,363,16
Simeon Woods Richardson,362,0,362,96
Victor Vodnik,362,0,362,12
Spencer Horwitz,361,0,361,85
Matt Waldron,359,0,359,116
Michael Tonkin,359,0,359,38
Christian Yelich,358,0,358,2542
Enrique Hernández,358,196,554,154
Ben Lively,357,17,374,61
Trevor Richards,357,0,357,
Gio Urshela,356,0,356,114
Grayson Rodriguez,356,0,356,427
Jon Singleton,356,9,365,96
Mark Leiter Jr.,356,59,415,114
Mauricio Dubón,356,13,369,129
Bryan Hudson,355,0,355,63
Otto Lopez,355,0,355,18
Andrew Abbott,354,0,354,185
Jared Jones,354,0,354,781
Jorge López,354,0,354,21
Mitch Garver,354,0,354,149
Bailey Falter,353,0,353,84
Pierce Johnson,353,11,364,51
Jalen Beeks,352,0,352,9
Alejandro Kirk,350,0,350,206
Geraldo Perdomo,350,0,350,94
Jacob Webb,349,8,357,29
Nolan Gorman,348,0,348,341
John Brebbia,347,0,347,5
Marcus Stroman,347,0,347,1069
Michael Lorenzen,347,20,367,80
Orion Kerkering,347,22,369,104
Adam Ottavino,346,0,346,42
Andrew Chafin,346,0,346,44
Aaron Bummer,345,34,379,26
Anthony Bender,345,0,345,5
Josh Rojas,345,0,345,137
Nick Mears,345,39,384,12
Reese Olson,345,80,425,224
Blake Perkins,344,32,376,111
Gerrit Cole,344,236,580,2026
Yuki Matsui,343,12,355,43
Andrew Nardi,342,0,342,8
Caleb Ferguson,342,5,347,43
Willson Contreras,342,0,342,278
Jeremiah Estrada,341,59,400,57
Luis Robert Jr.,341,0,341,2974
Hoby Milner,340,0,340,31
Nick Gonzales,340,0,340,146
Jared Triolo,339,0,339,59
Randal Grichuk,339,0,339,58
Ryan Yarbrough,339,0,339,68
Wenceel Pérez,339,46,385,182
Brayan Rocchio,338,102,440,65
Chris Flexen,337,0,337,17
Davis Schneider,337,0,337,407
Kyle Harrison,337,0,337,206
Patrick Bailey,337,0,337,284
Tyler Fitzgerald,337,0,337,182
Mark Canha,336,0,336,240
Nick Sandlin,336,0,336,30
Cionel Pérez,335,0,335,22
Génesis Cabrera,335,0,335,22
Alec Marsh,334,0,334,96
Max Schuemann,334,0,334,18
Justin Wilson,332,0,332,8
Michael Massey,332,63,395,82
Tanner Banks,332,9,341,29
Reed Garrett,331,78,409,100
Angel Zerpa,330,56,386,19
Josh Lowe,330,0,330,133
Nick Lodolo,330,0,330,382
Colin Holderman,329,0,329,38
Max Muncy,329,178,507,1864
J.P. Crawford,328,0,328,358
Nicky Lopez,328,0,328,32
Paul Sewald,328,0,328,54
Buck Farmer,327,0,327,19
Yoshinobu Yamamoto,327,160,487,3527
Luis García,326,0,326,11
Will Benson,326,0,326,328
Caleb Thielbar,325,0,325,11
Blake Treinen,324,198,522,29
Declan Cronin,324,0,324,10
Gabriel Moreno,324,0,324,192
Santiago Espinal,324,0,324,56
James Wood,323,0,323,409
Joe Musgrove,323,48,371,166
Ryan Fernandez,323,0,323,19
Spencer Torkelson,323,48,371,523
Starling Marte,323,205,528,406
Miguel Amaya,322,0,322,167
Calvin Faucher,321,0,321,6
Jake Cave,319,0,319,28
Mitch Haniger,319,0,319,227
Connor Joe,317,0,317,250
Lance Lynn,317,0,317,121
Martín Pérez,317,0,317,141
Victor Robles,317,0,317,104
TJ Friedl,316,0,316,142
Travis d'Arnaud,316,7,323,728
Xavier Edwards,315,0,315,77
Francisco Alvarez,314,92,406,695
Joey Estes,314,0,314,19
José Ureña,314,0,314,33
Max Kepler,314,0,314,253
Rob Refsnyder,314,0,314,135
Jon Gray,313,0,313,182
Greg Weissert,312,0,312,32
Tyler Ferguson,312,0,312,2
Hunter Harvey,311,0,311,35
Korey Lee,311,0,311,59
Sean Hjelle,310,0,310,24
Kyle Hendricks,309,0,309,136
Jorge Alcala,307,0,307,17
Ramón Laureano,307,0,307,37
Royce Lewis,307,0,307,1283
Enyel De Los Santos,306,0,306,58
Thairo Estrada,306,0,306,248
Tim Hill,306,93,399,21
Chris Martin,305,0,305,45
Elias Díaz,305,0,305,92
Ramón Urías,304,12,316,64
Luis Rengifo,303,0,303,84
Tyson Miller,303,0,303,29
Austin Voth,302,0,302,13
Edward Cabrera,302,0,302,90
Donovan Solano,301,4,305,47
Porter Hodge,301,0,301,19
Carson Fulmer,300,0,300,3
Jake Bauers,299,33,332,94
Jared Koenig,299,4,303,13
Freddy Fermin,298,0,298,69
Jake Fraley,298,0,298,180
Mike Tauchman,298,0,298,346
Joey Wentz,297,0,297,19
Tyrone Taylor,296,66,362,147
Bryse Wilson,294,0,294,35
Luke Jackson,294,15,309,8
Parker Meadows,294,86,380,103
