name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Byron Bloodworth,6,3
Dashawn Boatwright,3,1
Dan Bobish,17,9
Mark Bocek,12,5
Kyle Bochniak,8,5
James Bochnovic,8,3
Jeremy Boczulak,0,2
Tim Boetsch,21,13
Galore Bofando,5,3
Jay Bogan,6,6
Roman Bogatov,10,1
Derek Bohi,8,5
Jerry Bohlander,11,4
Mandy Bohm,8,2
Kotetsu Boku,25,11
Gaston Bolanos,7,4
Kyle Bolt,8,4
Denys Bondar,14,5
Luc Bondole,5,2
Tony Bonello,16,3
Gabriel Bonfim,15,1
Ismael Bonfim,19,4
Jesse Bongfeldt,16,5
Marcos Bonilla,4,4
Stephan Bonnar,15,9
Rogerio Bontorin,16,4
Ray Borg,13,5
Igor Borisov,1,1
Kevin Borjas,9,2
Calen Born,7,1
Caio Borralho,15,1
Zachary Borrego,3,1
Viacheslav Borshchev,7,3
Tanner Boser,21,10
Steve Bosse,12,2
Marcus Bossett,1,3
Chris Bostick,6,3
Poliana Botelho,8,5
Francois Botha,0,1
Gregory Bouchelaghem,5,4
Roy Boughton,14,8
Rich Bouphanouvong,1,4
Mike Bourke,10,16
Jess Bouscal,3,2
Tai Bowden,1,1
Melton Bowen,0,1
Kyron Bowen,9,5
Brian Bowles,10,3
Roger Bowling,12,6
Blake Bowman,2,6
Ashe Bowman,9,11
Anvar Boynazarov,3,1
Colley  Bradford,0,1
Kyle Bradley,19,12
Paul Bradley,23,8
Sean Brady,16,1
Ebenezer Fontes Braga,13,7
Ramiz Brahimaj,10,4
Joe Brammer,7,3
David Branch,22,6
Diego Brandao,22,11
Bruna Brasil,9,4
Michael Bravo,7,4
Martin Bravo,11,3
Roman Bravo-Young,0,1
Mike Breeden,11,6
Tom Breese,12,3
Elves Brener,16,3
Chris Brennan,21,13
Charlie Brenneman,19,8
Robert Breslin,3,9
Mack Brewer,0,1
Marcos Brigagao,11,1
Jason Brilz,22,6
Marcus Brimage,7,7
Aaron Brink,26,26
Henry Briones,16,8
Marcelo Brito,13,8
Joanderson Brito,16,3
Kaik Brito,16,5
Antwain Britt,11,6
Drew Brokenshire,16,6
Mike Bronzoulis,18,9
Jonathan Brookins,16,10
Will Brooks,18,4
Jarred Brooks,13,2
Rob Broughton,16,7
Lee Brousseau,5,3
Matt Brown,26,19
Mike Brown,26,9
Dominic Brown,16,23
Todd Brown,16,4
Terrell Brown,3,1
Chris Brown,10,1
Frederick Brown,3,2
Randy Brown,18,5
Damien Brown,17,12
TJ Brown,17,11
Humberto Brown Morrison,4,6
Travis Browne,18,7
Junie Browning,5,6
Jules Bruchez,1,2
Justin Bruckmann,7,3
Cody Brundage,10,5
Steve Bruno,15,6
Fernando Bruno,15,4
Derek Brunson,23,9
Josh Bryant,15,4
Dennis Bryant,5,2
Robert Bryczek,17,6
Lukasz Brzeski,8,4
Justin Buchholz,15,10
Zak Bucia,17,8
Courtney Buck,12,11
Joaquin Buckley,17,6
Martin Buday,13,2
Julia Budd,10,2
Dylan Budka,7,2
Mike Budnik,13,4
Francisco Bueno,5,2
Mayra Bueno Silva,10,3
Paul Buentello,35,17
Modestas Bukauskas,15,6
Lee Kwan Bum,0,1
Josh Bumgarner,6,4
Shawn Bunch,7,3
Felipe Bunes,13,7
Shane Burgos,15,3
Joshua Burkman,28,16
Justin Burlinson,6,1
Mads Burnell,9,3
Mikey Burnett,5,2
Kevin Burns,12,7
Gilbert Burns,22,6
Josh Burns,8,10
Herbert Burns,11,4
Derrick Burnsed,1,0
Nah-Shon Burrell,15,7
Martin Buschkamp,9,0
George Bush,5,2
Bubba Bush,8,3
Dakota Bush,8,4
Murilo Bustamante,15,8
Nick Bustamante,5,3
Eduardo Bustillos,5,3
Jason Butcher,10,2
Todd Butler,1,4
Goldman Butler,1,4
Ian Butler,3,3
Raphael Butler,9,2
Jesse Butler,12,5
JP Buys,9,6
Dennis Buzukja,8,4
Charles Byrd,10,7
Steve Byrnes,6,1
Michael Byrnes,5,3
Yan Cabral,13,3
Alvin Cacdac,18,13
Alex Caceres,21,14
Vince Cachero,7,4
Priscila Cachoeira,12,6
Travis Calanoc,5,1
Ricky Calatayud,16,2
Darrion Caldwell,10,1
Taylor Callens,6,0
Cynthia Calvillo,9,6
Joe Camacho,13,19
Frank Camacho,22,10
Fabricio Camoes,14,9
Chris Camozzi,24,13
Brian Camozzi,7,5
Ricky Camp,11,4
Mike Campbell,13,4
Thomas Campbell,3,3
Shane Campbell,14,6
Charlie Campbell,8,2
John Campetella,0,1
Wagner Campos,12,10
Derek Campos,19,6
Will Campuzano,14,6
Aleksa Camur,6,3
Chico Camus,17,7
Asbel Cancio,0,1
Carlos Candelario,8,3
Ronaldo Candido,6,0
Luiz Cane,17,7
Guido Cannetti,10,8
Jared Cannonier,17,6
Jose Canseco,0,1
Cody Canterbury,1,10
Bo Cantrell,10,10
Steve Cantwell,7,6
Paul Capaldo,6,0
Phil Caracappa,6,1
Frank Caracci,2,3
Gina Carano,7,1
Dos Caras Jr.,9,5
Bryan Caraway,21,9
Remo Cardarelli,7,5
Phil Cardella,8,5
Edgar Cardenas,4,1
Chris Cariaso,17,8
Ronald Carillo,4,2
Rafael Carino,2,1
Don Carlo-Clauss,10,7
Antonio Carlos Junior,11,5
Spike Carlyle,9,3
Francis Carmont,25,12
Liz Carmouche,13,7
Roan Carneiro,21,11
Ariane Carnelossi,14,3
Luana Carolina,10,4
Tim Caron,7,1
Clayton Carpenter,7,0
Gabriel Carrasco,7,0
Cody Carrillo,11,16
Cain Carrizosa,10,3
Roger Carroll,16,14
Jonny Carson,11,7
Scott Carson,4,2
Shonie Carter,51,31
Jack Cartwright,10,1
Bruno Carvalho,10,5
Antonio Carvalho,15,6
Rafael Carvalho,14,1
Shane Carwin,12,2
Johnny Case,22,6
Kevin Casey,9,5
Cortney Casey,10,10
Brandon Cash,10,4
Bendy Casimir,20,14
Dwayne Cason,1,1
Joe Cason,9,1
John Castaneda,21,6
Eric Castile,3,2
Gil Castillo,8,5
Danny Castillo,17,10
Raul Castillo,7,1
Jenna Castillo,1,0
Tim Catalfo,4,2
Nick Catone,10,4
Luke Caudillo,17,17
Gesias Cavalcante,21,10
Rafael Cavalcante,12,7
Jacqueline Cavalcanti,6,1
Magnus Cedenblad,14,5
Yosdenis Cedeno,10,6
Henry Cejudo,16,4
Adam Cella,6,8
Vinicius Cenci,7,2
Donald Cerrone,36,17
Jared Chaffee,5,2
Luan Chagas,15,3
Edgar Chairez,11,5
Ansar Chalangov,14,5
Alex Chambers,5,5
Michael Chandler,23,8
Chelsea Chandler,5,1
Donnie Chappell,0,1
Joe Charles,6,13
Dan Charles,10,6
Morgan Charriere,19,9
Ernest Chavez,10,2
Emilio Chavez,12,9
Danny Chavez,11,5
Gabriel Checco,10,2
Albert Cheng,7,4
Fabio Cherant,7,4
Ion Cherdivara,1,1
Mark Cherico,11,1
Macy Chiasson,9,3
Michael Chiesa,18,7
Giga Chikadze,15,3
Khamzat Chimaev,13,0
Sako Chivitchian,8,1
Mu Bae Choi,12,6
Hong Man Choi,4,5
Dooho Choi,14,4
SeungWoo Choi,11,6
SeungGuk Choi,7,3
John Cholish,8,3
Ryo Chonan,22,13
Katlyn Cerminara,18,5
Will Chope,34,13
Joachim Christensen,14,6
Dan Christison,20,7
Anthony Christodoulou,12,7
Murad Chunkaiev,8,4
Cameron Church,4,1
Steven Ciaccio,4,4
Mike Ciesnolevicz,19,4
Hannah Cifers,10,7
Branko Cikatic,0,2
Nikolajus Cilkinas,2,6
Misha Cirkunov,15,9
Johnny Cisneros,9,6
Laverne Clark,27,21
Logan Clark,18,6
Mychal Clark,10,14
Dominic Clark,10,7
Heather Clark,7,6
Devin Clark,14,9
Jessica-Rose Clark,11,9
John Clarke,1,1
Mitch Clarke,11,5
Rich Clementi,45,23
Chris Clements,12,6
RJ Clifford,4,3
Mark Climaco,9,2
Josh Clopton,6,2
Brian Cobb,20,9
Darryl Cobb,6,8
Dave Cochran,26,29
Dakota Cochrane,29,12
Marloes Coenen,23,8
Marc Cofer,7,5
John Cofer,8,4
Chris Coggins,7,10
Felipe Colares,10,4
Wayne Cole,16,25
Devin Cole,20,10
Coltin Cole,4,5
Ivan Cole,2,3
Chandler Cole,10,4
Mark Coleman,16,10
Cortez Coleman,13,8
Clay Collard,14,7
Jamie Colleen,4,1
Jake Collier,13,10
Christian Colombo,8,3
